csv_category,nav_top_menu,nav_column,nav_item_matched,status
Devcon Maintenance Products,WELDING WORKSHOP,Welding Chemicals & Consumables,Devcon Maintenance Products,MAPPED
Direct Drive Compressors,WELDING WORKSHOP,Air Tools & Compressors,Direct Drive Compressors,MAPPED
Disposable Shielding Gas Cylinders,MIG WELDING,MIG Welding Accessories,[Sub-cat],MAPPED
Dissimilar Steel Welding Electrodes,ARC WELDING,MMA Welding Electrodes,Dissimilar Steel,MAPPED
Double Chain Pipe Clamps,PIPE WELDING,Pipe Welding Clamps,Chain Clamps,MAPPED
Double Roll Pipe Stands,PIPE WELDING,Pipe Stands & Handling,Roller Stands,MAPPED
Double Seal Kits Complete,PIPE WELDING,Pipe Welding Accessories,Pipe Purging Equipment,MAPPED
Double Seal Purge Systems,PIPE WELDING,Pipe Welding Accessories,Pipe Purging Equipment,MAPPED
Drain Test Plugs & Stoppers,PIPE WELDING,Pipe Welding Accessories,Drain Test Plugs,MAPPED
E-Z Fit Gold Pipe Alignment Clamps,PIPE WELDING,Pipe Welding Clamps,E-Z Fit Clamps,MAPPED
Earth Clamps,ARC WELDING,Welding Cable & Connectors,Earth Clamps,MAPPED
Easykleen Plus & TIG System,TIG WELDING,TIG Welding Accessories,Weld Cleaning Equipment,MAPPED
Electrode Holders MMA,ARC WELDING,Welding Cable & Connectors,Electrode Holders,MAPPED
Euro Connection MIG Torches,MIG WELDING,MIG Welding Torches & Parts,Euro Connection MIG Torches,MAPPED
Euro MIG Torches - ERGO,MIG WELDING,MIG Welding Torches & Parts,Euro MIG Torches - ERGO,MAPPED
Exact 170 Pipe Cutting Benches,PIPE WELDING,Pipe Cutting & Preparation,Exact Pipe Saws,MAPPED
Exact Pipe Saws,PIPE WELDING,Pipe Cutting & Preparation,Exact Pipe Saws,MAPPED
Exact PipeCut for Cutting Spiral Ducting,PIPE WELDING,Pipe Cutting & Preparation,Exact Pipe Saws,MAPPED
Exact Saw Blades,PIPE WELDING,Pipe Cutting & Preparation,Exact Pipe Saws,MAPPED
Expandable Pipe Stoppers,PIPE WELDING,Pipe Welding Accessories,Pipe Purging Equipment,MAPPED
F-Tech Fume Extraction,FUME EXTRACTION,F-Tech Extraction,F-Tech Fume Extraction,MAPPED
Fibreglass Weld Backing Tape,PIPE WELDING,Pipe Welding Accessories,Weld Backing Tape,MAPPED
Filter Kits & Servicing,WELDING MACHINES,Welding Power & Cooling,Filter Kits & Servicing,MAPPED
Fire Barrier Fabric,SAFETY & PPE,Welding Workspace Safety,Fire Barrier Fabric,MAPPED
Fire Retardant Tarpaulin,SAFETY & PPE,Welding Workspace Safety,Fire Retardant Tarpaulin,MAPPED
Five Leg Pipe Stands,PIPE WELDING,Pipe Stands & Handling,V-Head Stands,MAPPED
Flange Pins,PIPE WELDING,Pipe Welding Accessories,Measuring & Marking Tools,MAPPED
Flap Discs,ABRASIVES,Finishing & Sanding Discs,Flap Discs,MAPPED
Flashback Arrestors,GAS & OXY-FUEL,Gas Regulators & Delivery,Flashback Arrestors,MAPPED
Floor Mounted Roller Stands,PIPE WELDING,Pipe Stands & Handling,Roller Stands,MAPPED
Flux Cored MIG Wire - Stainless Steel,MIG WELDING,MIG Welding Wire,Flux Cored MIG Wire,MAPPED
Flux Cored MIG Wire - Steel,MIG WELDING,MIG Welding Wire,Flux Cored MIG Wire,MAPPED
Fuel Gas Regulators,GAS & OXY-FUEL,Gas Regulators & Delivery,Fuel Gas Regulators,MAPPED
GBC Pipe Saws,PIPE WELDING,Pipe Cutting & Preparation,GBC Pipe Saws,MAPPED
Gas & Plasma Cutting Machines,PLASMA CUTTING,Oxy-Fuel Cutting Machines,[Parent],MAPPED
Gas Alarm Panels,GAS & OXY-FUEL,Gas Regulators & Delivery,Gas Alarm Panels,MAPPED
Gas Arc Auto Changeover Manifold Panels,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Manifold Panels,MAPPED
Gas Arc Cylinder Mounted Gas Regulators,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Gas Arc Hi Flow Gas Regulators,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Gas Arc High Pressure Gas Hoses,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",High Pressure Gas Hoses,MAPPED
Gas Arc Panel Mounted Gas Regulators,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Gas Arc Regulators,GAS & OXY-FUEL,Gas Regulators & Delivery,[Parent],MAPPED
Gas Arc Spares & Certificates,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Gas Arc Welding Hoses,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",[Sub-cat],MAPPED
Gas Changeover Manifold Panels,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Manifold Panels,MAPPED
Gas Control Header Rails,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Gas Control Outlet Panels,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Gas Control Outlet Points/Panels,GAS & OXY-FUEL,Gas Regulators & Delivery,[Sub-cat],MAPPED
Gas Cutting & Gouging Nozzles,PLASMA CUTTING,Oxy-Fuel Cutting Nozzles,[Parent],MAPPED
Gas Cutting Machines (Oxy-Fuel),PLASMA CUTTING,Oxy-Fuel Cutting Machines,Gas Cutting Machines (Oxy-Fuel),MAPPED
Gas Cutting Torches,GAS & OXY-FUEL,Oxy-Fuel Welding Equipment,Gas Cutting Torches,MAPPED
Gas Cylinder Brackets,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",[Sub-cat],MAPPED
Gas Cylinder Cages,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Gas Cylinder Cages,MAPPED
Gas Cylinder Storage & Handling,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",[Parent],MAPPED
Gas Cylinder Trolleys,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Gas Cylinder Trolleys,MAPPED
Gas Cylinder Trolleys & Handling,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Gas Cylinder Trolleys,MAPPED
Gas Cylinder Trolleys - Non UK Made,GAS & OXY-FUEL,"Gas Hoses, Fittings & Storage",Gas Cylinder Trolleys,MAPPED
