old_url,depth,matched_category_name,new_url,match_type,match_method,confidence,status,notes,is_cross_linked,consolidation_count
https://www.weldingandwelder.com/category/welding-consumables/welding-chemicals-sprays/anti-spatter-spray/,3,Anti-Spatter Spray,/workshop/chemicals/anti-spatter,exact,Leaf slug 'anti-spatter-spray' → CSV 'Anti-Spatter Spray',high,MAPPED,Item match: Anti-Spatter Spray,,
https://www.weldingandwelder.com/category/gas-welding-equipment/welding-gas-hoses/argon-shielding-gas-hose/,3,Argon/Shielding Gas Hose,/gas-oxy-fuel/hoses/argon,exact,Leaf slug 'argon-shielding-gas-hose' → CSV 'Argon/Shielding Gas Hose',high,MAPPED,Item match: Argon / Shielding Gas Hose,,
https://www.weldingandwelder.com/category/gas-welding-equipment/welding-gas-hoses/mig-gas-welding-hoses/,3,MIG Gas Welding Hoses,/gas-oxy-fuel/hoses/mig,exact,Leaf slug 'mig-gas-welding-hoses' → CSV 'MIG Gas Welding Hoses',high,MAPPED,Item match: MIG Gas Welding Hoses,,
https://www.weldingandwelder.com/category/plasma-cutters-gas-cutting/plasma-cutting-equipment/plasma-torch-spares/thermal-dynamics-compat-spares/thermal-dynamics-type-pch-52/,5,Thermal Dynamics Type PCH-52,/cutting/plasma/thermal-dynamics/thermal-dynamics-type-pch-52,exact,Leaf slug 'thermal-dynamics-type-pch-52' → CSV 'Thermal Dynamics Type PCH-52',high,MAPPED,Subcategory override: 'Thermal Dynamics Type PCH-52' → /cutting/plasma/thermal-dynamics/thermal-dynamics-type-pch-52,,
https://www.weldingandwelder.com/category/welding-tools-benches/angle-grinder-discs/grinding-discs/,3,Grinding Discs,/abrasives/grinding,exact,Leaf slug 'grinding-discs' → CSV 'Grinding Discs',high,MAPPED,Item match: Grinding Discs,,
https://www.weldingandwelder.com/category/air-tools-air-compressors/air-tools/air-belt-sanders/,3,Air Belt Sanders,/workshop/air-tools/sanders/air-belt-sanders,exact,Leaf slug 'air-belt-sanders' → CSV 'Air Belt Sanders',high,MAPPED,Subcategory override: 'Air Belt Sanders' → /workshop/air-tools/sanders/air-belt-sanders,,
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-hose-and-regulator-fittings/hose-fittings/hose-nuts-regulator-fitting/,4,Hose Nuts - Regulator Fitting,/gas-oxy-fuel/fittings/hose-nuts-regulator-fitting,exact,Leaf slug 'hose-nuts-regulator-fitting' → CSV 'Hose Nuts - Regulator Fitting',high,MAPPED,Subcategory override: 'Hose Nuts - Regulator Fitting' → /gas-oxy-fuel/fittings/hose-nuts-regulator-fitting,,
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-hose-and-regulator-fittings/cylinder-fittings/twin-outlet-valves/,4,Twin Outlet Valves,/gas-oxy-fuel/cylinder-fittings/twin-outlet-valves,exact,Leaf slug 'twin-outlet-valves' → CSV 'Twin Outlet Valves',high,MAPPED,Subcategory override: 'Twin Outlet Valves' → /gas-oxy-fuel/cylinder-fittings/twin-outlet-valves,,
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-cutting-equipment/pipe-bevellers/prep-8-pipe-preparation-machines/,4,Prep 8 Pipe Preparation Machines,/workshop/pipe/bevelling/prep-8-pipe-preparation-machines,exact,Leaf slug 'prep-8-pipe-preparation-machines' → CSV 'Prep 8 Pipe Preparation Machines',high,MAPPED,Subcategory override: 'Prep 8 Pipe Preparation Machines' → /workshop/pipe/bevelling/prep-8-pipe-preparation-machines,,
https://www.weldingandwelder.com/category/welding-consumables/mig-welding-supplies/mig-welding-wire/flux-cored-mig-wire-steel/,4,Flux Cored MIG Wire - Steel,/mig-welding/wire/flux-cored/flux-cored-mig-wire-steel,exact,Leaf slug 'flux-cored-mig-wire-steel' → CSV 'Flux Cored MIG Wire - Steel',high,MAPPED,Subcategory override: 'Flux Cored MIG Wire - Steel' → /mig-welding/wire/flux-cored/flux-cored-mig-wire-steel,,
https://www.weldingandwelder.com/category/safety-equipment/strip-curtains/,2,Strip Curtains,/safety/screens/strip/strip-curtains,exact,Leaf slug 'strip-curtains' → CSV 'Strip Curtains',high,MAPPED,Subcategory override: 'Strip Curtains' → /safety/screens/strip/strip-curtains,,
https://www.weldingandwelder.com/category/welding-equipment/weld-cleaning-machines/stainless-steel-weld-cleaning/stainless-brighteners-rust-remover/,4,Stainless Brighteners & Rust Remover,/tig-welding/weld-cleaning/stainless-brighteners-and-rust-remover,exact,Leaf slug 'stainless-brighteners-rust-remover' → CSV 'Stainless Brighteners & Rust Remover',high,MAPPED,Subcategory override: 'Stainless Brighteners & Rust Remover' → /tig-welding/weld-cleaning/stainless-brighteners-and-rust-remover,,
https://www.weldingandwelder.com/category/safety-equipment/welding-clothing/welding-jackets/welding-jackets-trousers-standard/,4,Welding Jackets & Trousers - Standard,/safety/clothing/jackets/welding-jackets-and-trousers-standard,exact,Leaf slug 'welding-jackets-trousers-standard' → CSV 'Welding Jackets & Trousers - Standard',high,MAPPED,Subcategory override: 'Welding Jackets & Trousers - Standard' → /safety/clothing/jackets/welding-jackets-and-trousers-standard,,
https://www.weldingandwelder.com/category/plasma-cutters-gas-cutting/gas-cutting-machines-oxy-fuel/straight-line-cutting-machine/,3,Straight Line Cutting Machines,/cutting/machines/straight-line,exact,Leaf slug 'straight-line-cutting-machine' → CSV 'Straight Line Cutting Machines',high,MAPPED,Item match: Straight Line Cutting Machines,,2
https://www.weldingandwelder.com/category/welding-consumables/mma-arc-welding-supplies/mma-stick-electrodes/cutting-gouging-welding-electrodes/,4,Cutting/Gouging Welding Electrodes,/arc-mma/electrodes/cutting-gouging,exact,Leaf slug 'cutting-gouging-welding-electrodes' → CSV 'Cutting/Gouging Welding Electrodes',high,MAPPED,Item match: Cutting / Gouging,YES,
https://www.weldingandwelder.com/category/welding-equipment/weld-cleaning-machines/antox-pickling-neutralising/,3,Pickling & Neutralising Agents,/tig-welding/weld-cleaning/pickling,exact,Leaf slug 'antox-pickling-neutralising' → CSV 'Pickling & Neutralising Agents',high,MAPPED,Item match: Pickling & Neutralising Agents,,
https://www.weldingandwelder.com/category/welding-tools-benches/hand-tools-tool-cabinets/wrench-sets/,3,Wrench Sets,/workshop/tools/kits/wrench-sets,exact,Leaf slug 'wrench-sets' → CSV 'Wrench Sets',high,MAPPED,Subcategory override: 'Wrench Sets' → /workshop/tools/kits/wrench-sets,,
https://www.weldingandwelder.com/category/plasma-cutters-gas-cutting/cutting-nozzles-gouging-nozzles/oxy-acetylene-cutting-nozzles-anme/oxyacetylene-cutting-nozzle-anme/nff-cutting-nozzles/,5,NFF Cutting Nozzles,/cutting/nozzles/nff,exact,Leaf slug 'nff-cutting-nozzles' → CSV 'NFF Cutting Nozzles',high,MAPPED,Item match: NFF Cutting Nozzles,,
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-welding-stands/roller-pipe-stands/mega-pipe-stands/,4,Mega-Pipe Stands,/workshop/pipe/stands/roller/mega-pipe-stands,exact,Leaf slug 'mega-pipe-stands' → CSV 'Mega-Pipe Stands',high,MAPPED,Subcategory override: 'Mega-Pipe Stands' → /workshop/pipe/stands/roller/mega-pipe-stands,,
https://www.weldingandwelder.com/category/welding-fume-extraction/kemper-clean-air-system/kemper-clean-air-towers/,3,Kemper CleanAirTower,/safety/fume/kemper-tower,exact,Leaf slug 'kemper-clean-air-towers' → CSV 'Kemper CleanAirTower',high,MAPPED,Item match: Kemper CleanAirTower,,
https://www.weldingandwelder.com/category/air-tools-air-compressors/air-compressors/direct-drive-compressors/,3,Direct Drive Compressors,/workshop/compressors/direct-drive,exact,Leaf slug 'direct-drive-compressors' → CSV 'Direct Drive Compressors',high,MAPPED,Item match: Direct Drive Compressors,,
https://www.weldingandwelder.com/category/welding-consumables/mig-welding-supplies/mig-welding-wire/copper-free-mig-wire/,4,Copper Free MIG Wire,/mig-welding/wire/copper-free,exact,Leaf slug 'copper-free-mig-wire' → CSV 'Copper Free MIG Wire',high,MAPPED,Item match: Copper Free MIG Wire,YES,
https://www.weldingandwelder.com/category/gas-welding-equipment/gas-hose-and-regulator-fittings/regulator-stems-fittings/,3,Regulator Stems & Fittings,/gas-oxy-fuel/fittings/regulator-stems-and-fittings,exact,Leaf slug 'regulator-stems-fittings' → CSV 'Regulator Stems & Fittings',high,MAPPED,Subcategory override: 'Regulator Stems & Fittings' → /gas-oxy-fuel/fittings/regulator-stems-and-fittings,,
https://www.weldingandwelder.com/category/welding-consumables/weld-backing-ceramics-tapes/ceramic-backing-strips-weldability/,3,Ceramic Backing Strips,/workshop/consumables/ceramics/ceramic-backing-strips,exact,Leaf slug 'ceramic-backing-strips-weldability' → CSV 'Ceramic Backing Strips',high,MAPPED,Subcategory override: 'Ceramic Backing Strips' → /workshop/consumables/ceramics/ceramic-backing-strips,,
https://www.weldingandwelder.com/category/welding-consumables/mig-welding-supplies/mig-welding-wire/hard-facing-mig-wire/,4,Hard Facing MIG Wire,/mig-welding/wire/hard-facing,exact,Leaf slug 'hard-facing-mig-wire' → CSV 'Hard Facing MIG Wire',high,MAPPED,Item match: Hard Facing MIG Wire,YES,
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-welding-tools-accessories/drain-test-plugs/pipe-stoppers/,4,Expandable Pipe Stoppers,/workshop/pipe/purging/expandable-pipe-stoppers,exact,Leaf slug 'pipe-stoppers' → CSV 'Expandable Pipe Stoppers',high,MAPPED,Subcategory override: 'Expandable Pipe Stoppers' → /workshop/pipe/purging/expandable-pipe-stoppers,,
https://www.weldingandwelder.com/category/welding-consumables/mma-arc-welding-supplies/mma-stick-electrodes/cast-iron-welding-electrodes/,4,Cast Iron Welding Electrodes,/arc-mma/electrodes/cast-iron,exact,Leaf slug 'cast-iron-welding-electrodes' → CSV 'Cast Iron Welding Electrodes',high,MAPPED,Item match: Cast Iron,YES,
https://www.weldingandwelder.com/category/welding-consumables/tig-welding-supplies/tig-welding-torches-spares/tig-torches-adaptors/,4,TIG Torch Adaptors & Switches,/tig-welding/torches/adaptors/tig-torch-adaptors-and-switches,exact,Leaf slug 'tig-torches-adaptors' → CSV 'TIG Torch Adaptors & Switches',high,MAPPED,Subcategory override: 'TIG Torch Adaptors & Switches' → /tig-welding/torches/adaptors/tig-torch-adaptors-and-switches,,
