name,slug,full_path,parent,level
Hollow Bore Drain Test Plugs,hollow-bore-drain-test-plugs,workshop/pipe/drain-plugs/hollow-bore-drain-test-plugs,workshop/pipe/accessories,2
Nylon Drain Test Plugs,nylon-drain-test-plugs,workshop/pipe/drain-plugs/nylon-drain-test-plugs,workshop/pipe/accessories,2
Contour Markers,contour-markers,workshop/pipe/measuring/contour-markers,workshop/pipe/accessories,2
Flange Pins,flange-pins,workshop/pipe/measuring/flange-pins,workshop/pipe/accessories,2
Pipe Centering Heads,pipe-centering-heads,workshop/pipe/measuring/pipe-centering-heads,workshop/pipe/accessories,2
Pipe Measuring & Marking Tools,pipe-measuring-and-marking-tools,workshop/pipe/measuring/pipe-measuring-and-marking-tools,workshop/pipe/accessories,2
Radius Markers,radius-markers,workshop/pipe/measuring/radius-markers,workshop/pipe/accessories,2
Double Seal Kits Complete,double-seal-kits-complete,workshop/pipe/purging/double-seal-kits-complete,workshop/pipe/accessories,2
Double Seal Purge Systems,double-seal-purge-systems,workshop/pipe/purging/double-seal-purge-systems,workshop/pipe/accessories,2
Expandable Pipe Stoppers,expandable-pipe-stoppers,workshop/pipe/purging/expandable-pipe-stoppers,workshop/pipe/accessories,2
Inflatable Purge Bag Systems,inflatable-purge-bag-systems,workshop/pipe/purging/inflatable-purge-bag-systems,workshop/pipe/accessories,2
Pre-formed Self Adhesive Purge Dams,pre-formed-self-adhesive-purge-dams,workshop/pipe/purging/pre-formed-self-adhesive-purge-dams,workshop/pipe/accessories,2
Purge Gas Retaining Tape,purge-gas-retaining-tape,workshop/pipe/purging/purge-gas-retaining-tape,workshop/pipe/accessories,2
Weld Purge Monitors,weld-purge-monitors,workshop/pipe/purging/weld-purge-monitors,workshop/pipe/accessories,2
Fibreglass Weld Backing Tape,fibreglass-weld-backing-tape,workshop/pipe/backing-tape/fibreglass-weld-backing-tape,workshop/pipe/accessories,2
Weld Backing Tapes,weld-backing-tapes,workshop/pipe/backing-tape/weld-backing-tapes,workshop/pipe/accessories,2
BRANDS,brands,brands,,0
