ID,SKU,Name,Old Categories,New Categories,Status
5601,7010463-110,Exact Pipecut Pipe Cutting System - 170E - 110V (7010463-110),Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5603,7010437-110,Exact Pipe Cutting System - 220E - 110V,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5614,7010401-110,Exact P400 Pipe Cutting &amp; Bevelling System - 110V,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5615,7010402,Exact PipeCut V1000 Pipe Cutter for Metal Pipe &amp; Spiral Ducting (7010402) 110V,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact PipeCut for Cutting Spiral Ducting,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5620,7010486,"Exact TCT 140mm Saw Blade – Cuts Steel, Copper & Plastic (7010486)",Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 140mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5622,70104860,"Exact TCT Z140 140mm Saw Blade – Tungsten Carbide Blade for Steel, Copper & Plastic (70104860)",Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 140mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5624,70104861,"Exact Saw Blades - TCT Z140 70104861 - 140 Blade - 140 mm (Steel, Copper, Plastic) - Pack of 10 - DISCONTINUED",Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 140mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5626,7010496,"Exact Cermet 140mm Saw Blade - Cuts Steel, Stainless Steel, Copper & Plastic (7010496)",Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 140mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5628,7010486-5628,"Exact TCT 140 Blade For Material Steel, Copper, Plastic",Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 140mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5630,7010496-10,Exact Cermet 140 140mm Saw Blade – Ceramic Alloy Blade for Heavy Duty S/ Steel (7010496) - Pack of 10,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 140mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5632,70104501,Exact Cermet Saw Blades - X140 HD 70104501 - 140 Blade - for Stainless Steel-Steel-Copper-Plastic - DISCONTINUED,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 140mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5634,701102,Exact Cermet Saw Blades - Thin 701102 - 140 Blade - for Stainless Steel-Steel-Copper-Plastic - DISCONTINUED,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 140mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5636,7010491,Diamond Cutting Discs - 140 mm - for Cast Iron - DISCONTINUED,Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 140mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
5638,7010492,Exact Diamond X140 140mm Saw Blade – Heavy Duty Diamond Blade for Cast Iron & Ductile Pipes (7010492),Pipe Welding & Cutting Equipment > Pipe Cutting Equipment > Pipe Saws > Exact Pipe Saws > Exact Saw Blades > 140mm Saw Blades & Diamond Cutting Discs,PIPE WELDING > Pipe Cutting & Preparation > Exact Pipe Saws,MAPPED
