old_url,new_url,match_type,confidence,notes
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-cutting-equipment/pipe-saws/exact-pipe-saws-pipe-saws/exact-saw-blades/140mm-saw-blades-diamond-discs/,/workshop/pipe/saws/exact/140mm-saw-blades-and-diamond-cutting-discs,exact,high,Subcategory override: '140mm Saw Blades & Diamond Cutting Discs' → /workshop/pipe/saws/exact/140mm-saw-blades-and-diamond-cutting-discs
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-welding-stands/v-head-stands/quattro-pipe-stands/,/workshop/pipe/stands/v-head/quattro-pipe-stands,exact,high,Subcategory override: 'Quattro Pipe Stands' → /workshop/pipe/stands/v-head/quattro-pipe-stands
https://www.weldingandwelder.com/category/welding-fume-extraction/fume-extraction-bench-tops/,/safety/fume/bench-top,exact,high,Item match: Bench Top Extractors
https://www.weldingandwelder.com/category/safety-equipment/safety-goggles-spectacles-visors/air-fed-face-shields/,/safety/eye/air-fed,exact,high,Item match: Air Fed Face Shields
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-welding-stands/roller-pipe-stands/ama-pipe-roller-stands/,/workshop/pipe/stands/roller/ama-roller-pipe-stands,exact,high,Subcategory override: 'AMA Roller Pipe Stands' → /workshop/pipe/stands/roller/ama-roller-pipe-stands
https://www.weldingandwelder.com/category/safety-equipment/welding-screens-welding-curtains/welding-curtains-frames-tusker/,/safety/screens/welding-curtains-and-frames-tusker,exact,high,Subcategory override: 'Welding Curtains & Frames - Tusker' → /safety/screens/welding-curtains-and-frames-tusker
https://www.weldingandwelder.com/category/welding-equipment/electrode-ovens-quivers/,/arc-mma/ovens,exact,high,Item match: Electrode Quivers & Ovens
https://www.weldingandwelder.com/category/welding-consumables/weld-backing-ceramics-tapes/katbak-ceramic-backing-strips/,/workshop/consumables/ceramics/katbak-ceramic-backing-strips,exact,high,Subcategory override: 'Katbak Ceramic Backing Strips' → /workshop/consumables/ceramics/katbak-ceramic-backing-strips
https://www.weldingandwelder.com/category/welding-consumables/welding-chemicals-sprays/ardrox-ndt-products/ardrox-ndt-aerosols/,/workshop/chemicals/ardrox-ndt-aerosols,exact,high,Subcategory override: 'Ardrox NDT Aerosols' → /workshop/chemicals/ardrox-ndt-aerosols
https://www.weldingandwelder.com/category/air-tools-air-compressors/air-tools/air-die-grinders/,/workshop/air-tools/die-grinders,exact,high,Item match: Air Die Grinders
https://www.weldingandwelder.com/category/air-tools-air-compressors/air-tools/air-sanders-polishers/,/workshop/air-tools/sanders/air-sanders-air-polishers,exact,high,Subcategory override: 'Air Sanders / Air Polishers' → /workshop/air-tools/sanders/air-sanders-air-polishers
https://www.weldingandwelder.com/category/pipe-stands-pipe-clamps/pipe-cutting-equipment/pipe-cutting-machines/magnetic-pipe-cutting-machine-spares/,/workshop/pipe/cutting-machines/spares/magnetic-pipe-cutting-machine-spares,exact,high,Subcategory override: 'Magnetic Pipe Cutting Machine Spares' → /workshop/pipe/cutting-machines/spares/magnetic-pipe-cutting-machine-spares
